title,brand,brand_normalized,source_url,ddr_type,form_factor,has_rgb,capacity_gb,speed_mhz,cas_latency,cas_latency_imputed,cas_was_imputed,num_sticks,price_per_gb,price_usd,log_price,scraped_at
G.SKILL Ripjaws V Series 16GB (2 x 8GB) 288-Pin PC RAM DDR4 3200 (PC4 25600) Desktop Memory Model F4-3200C16D-16GVKB,G.SKILL,G.SKILL,https://www.newegg.com/g-skill-ripjaws-v-series-16gb-ddr4-3200-cas-latency-cl16-desktop-memory-black/p/N82E16820231941?Item=N82E16820231941,DDR4,DIMM,False,16,3200,16,16,False,2,9.69,154.99,5.049791902630777,2026-05-08T19:27:51.107848
"V-COLOR Manta XSky DDR5 32GB (2x16GB) 6400MHz CL32 1.4V SK Hynix IC RGB Gaming Desktop Upgrade Memory Module Black, for AMD EXPO TMXSAL1664832KWK",V-COLOR,Other,https://www.newegg.com/v-color-32gb-2-x-16gb-ddr5-6400-pc5-51200-cas-latency-cl32-memory-desktop-memory-black/p/0RN-00MB-000U7?Item=0RN-00MB-000U7,DDR5,DIMM,True,32,6400,32,32,False,2,15.62,499.99,6.21658614080582,2026-05-08T19:27:51.108930
CORSAIR Vengeance 64GB (2 x 32GB) 288-Pin PC RAM DDR5 5200 (PC5 41600) Desktop Memory Model CMK64GX5M2B5200C40,CORSAIR,CORSAIR,https://www.newegg.com/corsair-vengeance-64gb-ddr5-5200-cas-latency-cl40-desktop-memory-black/p/N82E16820236839?Item=N82E16820236839,DDR5,DIMM,False,64,5200,40,40,False,2,14.22,909.99,6.814531920251303,2026-05-08T19:27:51.109531
Team T-FORCE VULCAN Z 16GB (2 x 8GB) 288-Pin PC RAM DDR4 3600 (PC4 28800) Desktop Memory Model TLZGD416G3600HC18JDC01,Team,Team,https://www.newegg.com/team-group-t-force-vulcan-z-16gb-ddr4-3600-cas-latency-cl18-desktop-memory-gray/p/N82E16820331542?Item=N82E16820331542,DDR4,DIMM,False,16,3600,18,18,False,2,9.37,149.99,5.017213609456379,2026-05-08T19:27:51.110099
G.SKILL Ripjaws V Series 32GB (2 x 16GB) 288-Pin PC RAM DDR4 3200 (PC4 25600) Desktop Memory Model F4-3200C16D-32GVK,G.SKILL,G.SKILL,https://www.newegg.com/g-skill-ripjaws-v-series-32gb-ddr4-3200-cas-latency-cl16-desktop-memory-black/p/N82E16820232091?Item=N82E16820232091,DDR4,DIMM,False,32,3200,16,16,False,2,8.12,259.99,5.564482092412441,2026-05-08T19:27:51.110658
G.SKILL Flare X5 16GB (2 x 8GB) 288-Pin PC RAM DDR5 6000 (PC5 48000) Desktop Memory Model F5-6000J3038F8GH2-FX5,G.SKILL,G.SKILL,https://www.newegg.com/g-skill-flare-x5-16gb-2-x-8gb-ddr5-6000-pc5-48000-cas-latency-cl30-desktop-memory-black/p/N82E16820374781?Item=N82E16820374781,DDR5,DIMM,False,16,6000,30,30,False,2,14.37,229.99,5.442374419541463,2026-05-08T19:27:51.111215
CORSAIR Vengeance RGB Pro 32GB (2 x 16GB) 288-Pin PC RAM DDR4 3200 (PC4 25600) Desktop Memory Model CMW32GX4M2E3200C16,CORSAIR,CORSAIR,https://www.newegg.com/corsair-vengeance-rgb-pro-32gb-ddr4-3200-cas-latency-cl16-desktop-memory-black/p/N82E16820236570?Item=9SIA2W0KT79699,DDR4,DIMM,True,32,3200,16,16,False,2,9.33,298.69,5.702748607065903,2026-05-08T19:27:51.111746
CORSAIR Vengeance RGB 32GB (2 x 16GB) 288-Pin PC RAM DDR5 6400 (PC5 51200) Desktop Memory Model CMH32GX5M2N6400C36W,CORSAIR,CORSAIR,https://www.newegg.com/corsair-vengeance-rgb-32gb-ddr5-6400-cas-latency-cl36-desktop-memory-white/p/N82E16820982243?Item=N82E16820982243,DDR5,DIMM,True,32,6400,36,36,False,2,15.31,489.99,6.196423760988341,2026-05-08T19:27:51.112300
CORSAIR Vengeance LPX 16GB (2 x 8GB) 288-Pin PC RAM DDR4 3200 (PC4 25600) Desktop Memory Model CMK16GX4M2E3200C16,CORSAIR,CORSAIR,https://www.newegg.com/corsair-vengeance-lpx-16gb-ddr4-3200-cas-latency-cl16-desktop-memory-black/p/N82E16820236540?Item=N82E16820236540,DDR4,DIMM,False,16,3200,16,16,False,2,10.0,159.99,5.081342251254203,2026-05-08T19:27:51.112840
CORSAIR Vengeance 16GB (2 x 8GB) 288-Pin PC RAM DDR5 5200 (PC5 41600) Desktop memory Model CMK16GX5M2B5200Z40,CORSAIR,CORSAIR,https://www.newegg.com/corsair-vengeance-16gb-ddr5-5200-cas-latency-cl40-desktop-memory-gray/p/N82E16820982175?Item=N82E16820982175,DDR5,DIMM,False,16,5200,40,40,False,2,16.87,269.99,5.602081919829862,2026-05-08T19:27:51.113366
CORSAIR Vengeance RGB 16GB (2 x 8GB) 288-Pin PC RAM DDR5 5200 (PC5 41600) Desktop Memory Model CMH16GX5M2B5200C40,CORSAIR,CORSAIR,https://www.newegg.com/corsair-vengeance-rgb-16gb-ddr5-5200-cas-latency-cl40-desktop-memory-black/p/N82E16820982196?Item=N82E16820982196,DDR5,DIMM,True,16,5200,40,40,False,2,17.37,277.99,5.631175938885108,2026-05-08T19:27:51.114179
Patriot Viper Venom 32GB (2 x 16GB) 288-Pin PC RAM DDR5 6000 (PC5 48000) Desktop Memory Model PVV532G600C36K Compatible with AMD / Intel Gen14 Only,Patriot,Other,https://www.newegg.com/patriot-memory-viper-venom-32gb-ddr5-6000-cas-latency-cl36-desktop-memory-matte-black/p/N82E16820225315?Item=N82E16820225315,DDR5,DIMM,False,32,6000,36,36,False,2,11.56,369.99,5.916175108066267,2026-05-08T19:27:51.114637
Crucial Pro 32GB (2 x 16GB) 288-Pin PC RAM DDR4 3200 (PC4 25600) Desktop Memory Model CP2K16G4DFRA32A,Crucial,Crucial,https://www.newegg.com/crucial-pro-32gb-ddr4-3200-cas-latency-cl22-desktop-memory-black/p/N82E16820156326?Item=N82E16820156326,DDR4,DIMM,False,32,3200,-1,16,True,2,7.19,229.99,5.442374419541463,2026-05-08T19:27:51.115060
G.SKILL Ripjaws M5 Neo RGB Series 16GB 288-Pin PC RAM DDR5 6000 (PC5 48000) Desktop Memory Model F5-6000J3636F16GX1-RM5NRK,G.SKILL,G.SKILL,https://www.newegg.com/g-skill-ripjaws-m5-rgb-series-16gb-ddr5-6000-pc5-48000-cas-latency-cl36-desktop-memory-black/p/N82E16820374792?Item=N82E16820374792,DDR5,DIMM,True,16,6000,36,36,False,1,15.0,239.99,5.484755438853831,2026-05-08T19:27:51.115632
Patriot Viper Elite 5 16GB 288-Pin PC RAM DDR5 6000 CL30(PC5 48000) Hynix Desktop Memory Model VEB516G6030W Compatible with AMD / Intel Gen14 Only,Patriot,Other,https://www.newegg.com/patriot-memory-viper-elite-5-16gb-ddr5-6000-cas-latency-cl30-desktop-memory-white/p/N82E16820225357?Item=N82E16820225357,DDR5,DIMM,False,16,6000,30,30,False,1,12.5,199.99,5.30325515557766,2026-05-08T19:27:51.116213
CORSAIR Vengeance RGB 32GB (2 x 16GB) 288-Pin PC RAM DDR5 6000 (PC5 48000) Custom Lab Cherry Blossom Desktop Memory Model CMH32GX5M2B6000Z30WCB - White,CORSAIR,CORSAIR,https://www.newegg.com/corsair-vengeance-rgb-32gb-2-x-16gb-ddr5-6000-pc5-48000-cas-latency-cl30-desktop-memory-white/p/N82E16820982277?Item=9SIC6MHKW11226,DDR5,DIMM,True,32,6000,30,30,False,2,18.12,579.99,6.3647335449998295,2026-05-08T19:27:51.116877
Crucial Pro 64GB (2 x 32GB) 288-Pin PC RAM DDR4 3200 (PC4 25600) Desktop Memory Model CP2K32G4DFRA32A,Crucial,Crucial,https://www.newegg.com/crucial-pro-64gb-ddr4-3200-cas-latency-cl22-desktop-memory-black/p/N82E16820156327?Item=N82E16820156327,DDR4,DIMM,False,64,3200,-1,16,True,2,7.03,449.99,6.111445166307853,2026-05-08T19:27:51.117284
CORSAIR Vengeance RGB 32GB (2 x 16GB) 288-Pin PC RAM DDR5 6000 (PC5 48000) Desktop Memory Model CMH32GX5M2B6000C38,CORSAIR,CORSAIR,https://www.newegg.com/corsair-vengeance-rgb-32gb-ddr5-6000-cas-latency-cl38-desktop-memory-black/p/N82E16820982128?Item=N82E16820982128,DDR5,DIMM,True,32,6000,38,38,False,2,14.37,459.99,6.133376350787405,2026-05-08T19:27:51.117694
Crucial Pro Overclocking 32GB (2 x 16GB) DDR5 6000 (PC5 48000) Desktop Memory Model CP2K16G60C36U5B,Crucial,Crucial,https://www.newegg.com/crucial-pro-overclocking-32gb-ddr5-6000-cas-latency-cl36-desktop-memory-black/p/N82E16820156394?Item=N82E16820156394,DDR5,DIMM,False,32,6000,36,36,False,2,12.34,394.99,5.981388958410378,2026-05-08T19:27:51.118066
"V-COLOR Manta XSky DDR5 32GB (2x16GB) 6000MHz CL30 1.25V SK Hynix Original IC Gaming Desktop Memory Module Black, for AMD EXPO (TMXSAO1660830KKK)",V-COLOR,Other,https://www.newegg.com/v-color-32gb-2-x-16gb-ddr5-6000-pc5-48000-cas-latency-cl30-memory-desktop-memory/p/0RN-00MB-000V1?Item=0RN-00MB-000V1,DDR5,DIMM,False,32,6000,30,30,False,2,13.12,419.99,6.042609080431154,2026-05-08T19:27:51.118445
CORSAIR Vengeance RGB 32GB (2 x 16GB) 288-Pin PC RAM DDR5 6000 (PC5 48000) Desktop Memory Model CMH32GX5M2F6000Z36,CORSAIR,CORSAIR,https://www.newegg.com/corsair-vengeance-rgb-32gb-2-x-16gb-ddr5-6000-pc5-48000-cas-latency-cl36-desktop-memory-gray/p/N82E16820982285?Item=N82E16820982285,DDR5,DIMM,True,32,6000,36,36,False,2,14.53,464.99,6.144164174667925,2026-05-08T19:27:51.118847
Team Group 16GB (2 x 8GB) 288-Pin PC RAM DDR5 6000 (PC5 48000) Memory Model FLBD516G6000HC38ADC01,Team,Team,https://www.newegg.com/team-group-16gb-2-x-8gb-ddr5-6000-pc5-48000-cas-latency-cl38-memory-black/p/N82E16820985374?Item=N82E16820985374,DDR5,DIMM,False,16,6000,38,38,False,2,15.0,239.99,5.484755438853831,2026-05-08T19:27:51.119224
CORSAIR Vengeance 32GB (2 x 16GB) 288-Pin PC RAM DDR5 6000 (PC5 48000) Desktop Memory Model CMK32GX5M2B6000C38,CORSAIR,CORSAIR,https://www.newegg.com/corsair-vengeance-32gb-ddr5-6000-cas-latency-cl38-desktop-memory-black/p/N82E16820982129?Item=9SIBYT0KW20462,DDR5,DIMM,False,32,6000,38,38,False,2,14.03,449.0,6.1092475827643655,2026-05-08T19:27:51.119596
G.SKILL Trident Z5 RGB Series 32GB (2 x 16GB) 288-Pin PC RAM DDR5 6400 (PC5 51200) Desktop Memory Model F5-6400J3239G16GX2-TZ5RK,G.SKILL,G.SKILL,https://www.newegg.com/g-skill-trident-z5-rgb-series-32gb-ddr5-6400-cas-latency-cl32-desktop-memory-black/p/N82E16820374358?Item=N82E16820374358,DDR5,DIMM,True,32,6400,32,32,False,2,16.25,519.99,6.255730847711197,2026-05-08T19:27:51.119940
G.SKILL Ripjaws V Series 16GB 288-Pin PC RAM DDR4 3200 (PC4 25600) Desktop Memory Model F4-3200C16S-16GVK,G.SKILL,G.SKILL,https://www.newegg.com/g-skill-ripjaws-v-series-16gb-ddr4-3200-cas-latency-cl16-desktop-memory-black/p/N82E16820232090?Item=N82E16820232090,DDR4,DIMM,False,16,3200,16,16,False,1,8.12,129.99,4.875120984409557,2026-05-08T19:27:51.120320
"V-COLOR Manta XSky DDR5 32GB (2x16GB) 6000MHz CL30 SK Hynix IC RGB Gaming Desktop Memory Module Black, for AMD EXPO TMXSAL1660830KWK",V-COLOR,Other,https://www.newegg.com/v-color-32gb-2-x-16gb-ddr5-6000-pc5-48000-cas-latency-cl30-memory-desktop-memory/p/0RN-00MB-000T5?Item=0RN-00MB-000T5,DDR5,DIMM,True,32,6000,30,30,False,2,12.81,409.99,6.01856888329999,2026-05-08T19:27:51.120820
Patriot Viper Elite 5 32GB (2 x 16GB) 288-Pin PC RAM DDR5 6000 CL30(PC5 48000) Hynix Desktop Memory Model VEB532G6030KW Compatible with AMD & Intel Gen14 Only,Patriot,Other,https://www.newegg.com/patriot-memory-viper-elite-5-32gb-2-x-16gb-ddr5-6000-pc5-48000-cas-latency-cl30-desktop-memory-white/p/N82E16820225386?Item=N82E16820225386,DDR5,DIMM,False,32,6000,30,30,False,2,11.87,379.99,5.94277312806309,2026-05-08T19:27:54.925259
CORSAIR Vengeance RGB 32GB (2 x 16GB) 288-Pin PC RAM DDR5 6400 (PC5 51200) Desktop Memory Model CMH32GX5M2B6400C36,CORSAIR,CORSAIR,https://www.newegg.com/corsair-vengeance-rgb-32gb-ddr5-6400-cas-latency-cl36-desktop-memory-black/p/N82E16820236982?Item=N82E16820236982,DDR5,DIMM,True,32,6400,36,36,False,2,14.87,475.99,6.167495526307999,2026-05-08T19:27:54.925609
CORSAIR Vengeance 32GB (2 x 16GB) 288-Pin PC RAM DDR5 6000 (PC5 48000) Desktop Memory Model CMK32GX5M2B6000Z30,CORSAIR,CORSAIR,https://www.newegg.com/corsair-vengeance-32gb-ddr5-6000-cas-latency-cl30-desktop-memory-gray/p/N82E16820982040?Item=N82E16820982040,DDR5,DIMM,False,32,6000,30,30,False,2,17.69,565.99,6.3403416668879204,2026-05-08T19:27:54.925934
CORSAIR Vengeance RGB Pro SL 16GB (2 x 8GB) 288-Pin PC RAM DDR4 3200 (PC4 25600) Desktop Memory Model CMH16GX4M2E3200C16W,CORSAIR,CORSAIR,https://www.newegg.com/corsair-vengeance-rgb-pro-sl-16gb-ddr4-3200-cas-latency-cl16-desktop-memory-white/p/N82E16820236704?Item=N82E16820236704,DDR4,DIMM,True,16,3200,16,16,False,2,10.62,169.99,5.141605075260502,2026-05-08T19:27:54.926315
G.SKILL Trident Z5 RGB Series 32GB (2 x 16GB) 288-Pin PC RAM DDR5 6000 (PC5 48000) Desktop Memory Model F5-6000J3636F16GX2-TZ5RK,G.SKILL,G.SKILL,https://www.newegg.com/g-skill-trident-z5-rgb-series-32gb-ddr5-6000-cas-latency-cl36-desktop-memory-black/p/N82E16820374351?Item=N82E16820374351,DDR5,DIMM,True,32,6000,36,36,False,2,15.94,509.99,6.236350020540596,2026-05-08T19:27:54.926641
CORSAIR Vengeance 32GB (2 x 16GB) 288-Pin PC RAM DDR5 6000 (PC5 48000) Desktop Memory Model CMK32GX5M2F6000Z36,CORSAIR,CORSAIR,https://www.newegg.com/corsair-vengeance-32gb-2-x-16gb-ddr5-6000-pc5-48000-cas-latency-cl36-desktop-memory-gray/p/N82E16820982286?Item=N82E16820982286,DDR5,DIMM,False,32,6000,36,36,False,2,14.22,454.99,6.122470879449363,2026-05-08T19:27:54.926977
CORSAIR Vengeance 32GB (2 x 16GB) 288-Pin PC RAM DDR5 6400 (PC5 51200) Desktop Memory Model CMK32GX5M2B6400C36,CORSAIR,CORSAIR,https://www.newegg.com/corsair-vengeance-32gb-ddr5-6400-cas-latency-cl36-desktop-memory-black/p/N82E16820236986?Item=N82E16820236986,DDR5,DIMM,False,32,6400,36,36,False,2,14.53,464.99,6.144164174667925,2026-05-08T19:27:54.927294
Patriot Viper Venom DDR5 RAM 16GB (1X16GB) 6000MT/s CL30 UDIMM Desktop Gaming Memory Module - PVV516G60C30 Compatible with AMD & Intel Gen14 Only,Patriot,Other,https://www.newegg.com/patriot-memory-viper-venom-16gb-ddr5-6000-cas-latency-cl30/p/0RN-002U-004U3?Item=9SIAMB8KBY8124,DDR5,DIMM,False,16,6000,30,30,False,1,12.5,199.99,5.30325515557766,2026-05-08T19:27:54.927581
Team Group T-CREATE EXPERT 32GB (2 x 16GB) 288-Pin PC RAM DDR5 6000 (PC5 48000) Desktop Memory Model CTCED532G6000HC30DC01,Team,Team,https://www.newegg.com/team-group-t-create-expert-32gb-ddr5-6000-cas-latency-cl30-desktop-memory-black/p/N82E16820985077?Item=N82E16820985077,DDR5,DIMM,False,32,6000,30,30,False,2,14.69,469.99,6.154836862368523,2026-05-08T19:27:54.927928
Team T-Force Delta RGB 32GB (2 x 16GB) 288-Pin PC RAM DDR4 3200 (PC4 25600) Desktop Memory Model TF3D432G3200HC16FDC01,Team,Team,https://www.newegg.com/team-group-t-force-delta-rgb-32gb-ddr4-3200-cas-latency-cl16-desktop-memory-black/p/N82E16820331634?Item=N82E16820331634,DDR4,DIMM,True,32,3200,16,16,False,2,8.12,259.99,5.564482092412441,2026-05-08T19:27:54.928225
CORSAIR Vengeance 32GB (2 x 16GB) 288-Pin PC RAM DDR5 6000 (PC5 48000) Desktop Memory Model CMK32GX5M2B6000C30,CORSAIR,CORSAIR,https://www.newegg.com/corsair-vengeance-32gb-ddr5-6000-cas-latency-30-desktop-memory-black/p/N82E16820982007?Item=N82E16820982007,DDR5,DIMM,False,32,6000,30,30,False,2,17.69,565.99,6.3403416668879204,2026-05-08T19:27:54.928528
G.SKILL Flare X5 16GB 288-Pin PC RAM DDR5 6000 (PC5 48000) Desktop Memory Model F5-6000J3636F16GX1-FX5,G.SKILL,G.SKILL,https://www.newegg.com/g-skill-flare-x5-16gb-ddr5-6000-pc5-48000-cas-latency-cl36-desktop-memory-black/p/N82E16820374789?Item=N82E16820374789,DDR5,DIMM,False,16,6000,36,36,False,1,14.69,234.99,5.463789431246498,2026-05-08T19:27:54.928817
Team T-FORCE VULCAN Z 16GB (2 x 8GB) DDR4 3200 (PC4 25600) Desktop Memory Model TLZGD416G3200HC16FDC01,Team,Team,https://www.newegg.com/team-group-t-force-vulcan-z-16gb-ddr4-3200-cas-latency-cl16-desktop-memory-gray/p/N82E16820331616?Item=N82E16820331616,DDR4,DIMM,False,16,3200,16,16,False,2,8.12,129.99,4.875120984409557,2026-05-08T19:27:54.929139
v-color 8GB DDR4 DRAM 3200MHz (PC4-25600) CL22 1.2V U-DIMM Desktop Memory Ram Upgrade Module TD48G32S822-VC,v-color,Other,https://www.newegg.com/v-color-standard-series-8gb-ddr4-3200-cas-latency-cl22-memory-black/p/0RN-00MB-00078?Item=0RN-00MB-00078,DDR4,DIMM,False,8,3200,22,22,False,1,7.5,59.99,4.110709916308365,2026-05-08T19:27:54.929460
CORSAIR Vengeance RGB Pro SL 16GB (2 x 8GB) 288-Pin PC RAM DDR4 3200 (PC4 25600) Desktop Memory Model CMH16GX4M2E3200C16,CORSAIR,CORSAIR,https://www.newegg.com/corsair-vengeance-rgb-pro-sl-16gb-ddr4-3200-cas-latency-cl16-desktop-memory-black/p/N82E16820236703?Item=N82E16820236703,DDR4,DIMM,True,16,3200,16,16,False,2,10.62,169.99,5.141605075260502,2026-05-08T19:27:54.929757
CORSAIR Vengeance 96GB (2 x 48GB) 288-Pin PC RAM DDR5 6000 (PC5 48000) Desktop Memory Model CMK96GX5M2E6000Z36,CORSAIR,CORSAIR,https://www.newegg.com/corsair-vengeance-96gb-ddr5-6000-cas-latency-cl36-desktop-memory-gray/p/N82E16820982271?Item=9SIAMBVKP45146,DDR5,DIMM,False,96,6000,36,36,False,2,10.94,1050.0,6.957497370876951,2026-05-08T19:27:54.930054
Patriot Viper Venom 64GB (2 x 32GB) 288-Pin PC RAM DDR5 6000 (PC5 48000) Desktop Memory Model PVV564G600C36K,Patriot,Other,https://www.newegg.com/patriot-memory-viper-venom-64gb-ddr5-6000-cas-latency-cl36-desktop-memory-matte-black/p/N82E16820225333?Item=N82E16820225333,DDR5,DIMM,False,64,6000,36,36,False,2,11.25,719.99,6.580625267563245,2026-05-08T19:27:54.930333
Crucial Pro Overclocking 32GB (2 x 16GB) DDR5 6000 (PC5 48000) Desktop Memory Model CP2K16G60C36U5W,Crucial,Crucial,https://www.newegg.com/crucial-pro-overclocking-32gb-ddr5-6000-cas-latency-cl36-desktop-memory-white/p/N82E16820156406?Item=N82E16820156406,DDR5,DIMM,False,32,6000,36,36,False,2,12.19,389.99,5.968681984210738,2026-05-08T19:27:54.930645
CORSAIR Vengeance RGB 16GB (2 x 8GB) 288-Pin PC RAM DDR5 6000 (PC5 48000) Desktop Memory Model CMH16GX5M2E6000Z36,CORSAIR,CORSAIR,https://www.newegg.com/corsair-vengeance-rgb-16gb-2-x-8gb-ddr5-6000-pc5-48000-cas-latency-cl36-desktop-memory-gray/p/N82E16820982326?Item=N82E16820982326,DDR5,DIMM,True,16,6000,36,36,False,2,18.12,289.99,5.673288902319859,2026-05-08T19:27:54.930953
Patriot Memory Viper Venom 32GB (2 x 16GB) 288-Pin PC RAM DDR5 6400 (PC5 51200) Desktop Memory Model PVV532G640C32K Compatible with AMD / Intel Gen14 Only,Patriot,Other,https://www.newegg.com/patriot-memory-viper-venom-32gb-ddr5-6400-cas-latency-cl32-desktop-memory-black/p/0RN-002U-004U1?Item=0RN-002U-004U1,DDR5,DIMM,False,32,6400,32,32,False,2,11.87,379.99,5.94277312806309,2026-05-08T19:27:54.931260
G.SKILL Flare X5 8GB 288-Pin PC RAM DDR5 6000 (PC5 48000) Desktop Memory Model F5-6000J3038F8GH1-FX5,G.SKILL,G.SKILL,https://www.newegg.com/g-skill-flare-x5-8gb-ddr5-6000-pc5-48000-cas-latency-cl30-desktop-memory-black/p/N82E16820374790?Item=N82E16820374790,DDR5,DIMM,False,8,6000,30,30,False,1,16.25,129.99,4.875120984409557,2026-05-08T19:27:54.931590
CORSAIR Vengeance LPX 16GB (2 x 8GB) 288-Pin PC RAM DDR4 3200 (PC4 25600) Desktop Memory Model CMK16GX4M2B3200C16,CORSAIR,CORSAIR,https://www.newegg.com/corsair-vengeance-lpx-16gb-ddr4-3200-cas-latency-cl16-desktop-memory-black/p/N82E16820233859?Item=N82E16820233859,DDR4,DIMM,False,16,3200,16,16,False,2,10.31,164.99,5.111927545578128,2026-05-08T19:27:54.931921
G.SKILL Ripjaws S5 Series 32GB (2 x 16GB) 288-Pin PC RAM DDR5 6000 (PC5 48000) Desktop Memory Model F5-6000J3636F16GX2-RS5K,G.SKILL,G.SKILL,https://www.newegg.com/g-skill-ripjaws-s5-series-32gb-ddr5-6000-cas-latency-cl36-desktop-memory-black/p/N82E16820374430?Item=N82E16820374430,DDR5,DIMM,False,32,6000,36,36,False,2,15.0,479.99,6.175846479868856,2026-05-08T19:27:54.932285
CORSAIR Vengeance RGB 32GB (2 x 16GB) 288-Pin PC RAM DDR5 6000 (PC5 48000) Desktop Memory Model CMH32GX5M2N6000Z30,CORSAIR,CORSAIR,https://www.newegg.com/corsair-vengeance-rgb-32gb-ddr5-6000-cas-latency-cl30-desktop-memory-gray/p/N82E16820982184?Item=N82E16820982184,DDR5,DIMM,True,32,6000,30,30,False,2,18.0,575.99,6.357824935335385,2026-05-08T19:27:54.932591
G.SKILL Flare X5 128GB (2 x 64GB) 288-Pin PC RAM DDR5 6000 (PC5 48000) Desktop Memory Model F5-6000J3444F64GX2-FX5,G.SKILL,G.SKILL,https://www.newegg.com/g-skill-flare-x5-128gb-2-x-64gb-ddr5-6000-pc5-48000-cas-latency-cl34-desktop-memory-black/p/N82E16820374760?Item=N82E16820374760,DDR5,DIMM,False,128,6000,34,34,False,2,21.87,2799.99,7.9377282051002185,2026-05-08T19:27:54.932892
